timestamp,service,container_id,container_name,cpu_percent,memory_usage_bytes,memory_limit_bytes,memory_percent,net_input_bytes,net_output_bytes,block_input_bytes,block_output_bytes,pids
2026-04-19T14:41:56+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,113.33,73201090,200596447560,0.04,2281000,2172000,39550000,4100,36
2026-04-19T14:41:56+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0.01,22942843,100298223780,0.02,13400,126,12300,504000,6
2026-04-19T14:41:56+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,1.05,4534043,100298223780,0,87000,130000,0,0,5
2026-04-19T14:41:59+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,199.77,87231038,200596447560,0.04,9370000,8970000,39550000,4100,37
2026-04-19T14:41:59+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0.01,22659727,100298223780,0.02,13400,126,12300,504000,6
2026-04-19T14:41:59+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,3.46,5328863,100298223780,0.01,778000,1370000,0,0,5
2026-04-19T14:42:02+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,271.37,106619208,200596447560,0.05,17580000,17630000,39550000,4100,37
2026-04-19T14:42:02+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,2.57,24054333,100298223780,0.02,13500,126,24600,569000,6
2026-04-19T14:42:02+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,7.22,6111101,100298223780,0.01,2310000,4120000,0,0,5
2026-04-19T14:42:05+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,379.71,117639741,200596447560,0.06,33300000,31800000,39550000,4100,39
2026-04-19T14:42:05+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0.01,23246930,100298223780,0.02,13700,126,24600,569000,6
2026-04-19T14:42:05+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,6.75,7659848,100298223780,0.01,3340000,5960000,0,0,5
2026-04-19T14:42:08+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,478.27,120282153,200596447560,0.06,49500000,47300000,39550000,4100,40
2026-04-19T14:42:08+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0.01,23246930,100298223780,0.02,14100,126,24600,569000,6
2026-04-19T14:42:08+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,10.1,7131365,100298223780,0.01,5200000,9290000,0,0,5
2026-04-19T14:42:11+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,582.41,122578535,200596447560,0.06,66500000,62200000,39550000,4100,41
2026-04-19T14:42:11+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0.01,23246930,100298223780,0.02,14100,126,24600,569000,6
2026-04-19T14:42:11+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,11.21,7700742,100298223780,0.01,8280000,14800000,0,0,5
2026-04-19T14:42:14+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,685.07,123836826,200596447560,0.06,91700000,87500000,39550000,4100,41
2026-04-19T14:42:14+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0.01,23246930,100298223780,0.02,14100,126,24600,569000,6
2026-04-19T14:42:14+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,12.79,8384414,100298223780,0.01,10100000,18100000,0,0,5
2026-04-19T14:42:17+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,794.48,124665201,200596447560,0.06,117500000,112200000,39550000,4100,42
2026-04-19T14:42:17+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,1.82,23907533,100298223780,0.02,14100,126,24600,733000,6
2026-04-19T14:42:17+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,14.55,8888779,100298223780,0.01,13100000,23500000,0,0,5
2026-04-19T14:42:20+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,918.07,127831901,200596447560,0.06,146500000,140000000,39550000,4100,43
2026-04-19T14:42:20+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0.01,23246930,100298223780,0.02,14100,126,24600,733000,6
2026-04-19T14:42:20+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,17.06,6360662,100298223780,0.01,16500000,29700000,0,0,5
2026-04-19T14:42:23+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,1053.9,128335217,200596447560,0.06,174800000,164600000,39550000,4100,45
2026-04-19T14:42:23+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0.01,23246930,100298223780,0.02,14100,126,24600,733000,6
2026-04-19T14:42:23+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,20.47,6721372,100298223780,0.01,21700000,38900000,0,0,5
2026-04-19T14:42:26+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,1157.87,128723189,200596447560,0.06,214700000,205000000,39550000,4100,45
2026-04-19T14:42:26+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0.01,23246930,100298223780,0.02,14100,126,24600,733000,6
2026-04-19T14:42:26+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,20.19,8659141,100298223780,0.01,24600000,44000000,0,0,5
2026-04-19T14:42:29+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,1284.7,133829755,200596447560,0.07,252900000,242000000,39550000,4100,46
2026-04-19T14:42:29+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0.01,23246930,100298223780,0.02,14100,126,24600,733000,6
2026-04-19T14:42:29+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,24.12,9621733,100298223780,0.01,29200000,52400000,0,0,5
2026-04-19T14:42:32+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,1494.93,138118431,200596447560,0.07,295000000,282000000,39550000,4100,49
2026-04-19T14:42:32+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,2.17,23813161,100298223780,0.02,14100,126,24600,733000,6
2026-04-19T14:42:32+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,26.44,8638169,100298223780,0.01,34200000,61400000,0,0,5
2026-04-19T14:42:35+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,1665.47,142837023,200596447560,0.07,342000000,327000000,39550000,4100,52
2026-04-19T14:42:35+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0.01,23246930,100298223780,0.02,14100,126,24600,733000,6
2026-04-19T14:42:35+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,29.98,7405044,100298223780,0.01,39800000,71300000,0,0,5
2026-04-19T14:42:38+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,1859.11,145143890,200596447560,0.07,392000000,374000000,39550000,4100,54
2026-04-19T14:42:38+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0.01,23246930,100298223780,0.02,14100,126,24600,733000,6
2026-04-19T14:42:38+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,35.37,8507097,100298223780,0.01,45700000,82000000,0,0,5
2026-04-19T14:42:41+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,1984.03,148016988,200596447560,0.07,444000000,425000000,39550000,4100,54
2026-04-19T14:42:41+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0.01,23246930,100298223780,0.02,14100,126,24600,733000,6
2026-04-19T14:42:41+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,36.02,7471104,100298223780,0.01,52100000,93400000,0,0,5
2026-04-19T14:42:44+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,2056.46,162277622,200596447560,0.08,501000000,479000000,39550000,4100,54
2026-04-19T14:42:44+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0.01,23236444,100298223780,0.02,14100,126,24600,733000,6
2026-04-19T14:42:44+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,35.88,6742344,100298223780,0.01,58700000,105000000,0,0,5
2026-04-19T14:42:47+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,2067.06,194175304,200596447560,0.1,558000000,535000000,39550000,4100,54
2026-04-19T14:42:47+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,2.23,23309844,100298223780,0.02,14100,126,36900,733000,6
2026-04-19T14:42:47+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,37.42,7836008,100298223780,0.01,65500000,117000000,0,0,5
2026-04-19T14:42:50+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,2020.86,236474859,200596447560,0.12,608000000,579000000,39550000,4100,54
2026-04-19T14:42:50+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0.01,23236444,100298223780,0.02,14100,126,36900,733000,6
2026-04-19T14:42:50+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,37.1,10297016,100298223780,0.01,74400000,133000000,3260000,0,5
2026-04-19T14:42:53+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,1946.27,346376110,200596447560,0.17,673000000,648000000,39550000,4100,54
2026-04-19T14:42:53+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0.01,23645389,100298223780,0.02,14100,126,36900,733000,6
2026-04-19T14:42:53+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,37.55,7434404,100298223780,0.01,78800000,141000000,3260000,0,5
2026-04-19T14:42:56+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,1959.6,404666450,200596447560,0.2,730000000,704000000,39550000,4100,54
2026-04-19T14:42:56+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0.01,23236444,100298223780,0.02,14100,126,36900,733000,6
2026-04-19T14:42:56+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,35.21,8105492,100298223780,0.01,85100000,153000000,3260000,0,5
2026-04-19T14:42:59+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,1207.86,445938402,200596447560,0.22,777000000,751000000,39550000,4100,54
2026-04-19T14:42:59+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0.01,23236444,100298223780,0.02,14100,126,36900,733000,6
2026-04-19T14:42:59+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,29.59,6529483,100298223780,0.01,91000000,163000000,3260000,0,5
2026-04-19T14:43:02+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,401.38,446536090,200596447560,0.22,806000000,784000000,39550000,4100,54
2026-04-19T14:43:02+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,2.08,23813161,100298223780,0.02,14100,126,553000,733000,6
2026-04-19T14:43:02+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,10.86,7028605,100298223780,0.01,93800000,168000000,3260000,0,5
2026-04-19T14:43:05+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,25.99,440454348,200596447560,0.22,819000000,798000000,39550000,4100,53
2026-04-19T14:43:05+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0,23236444,100298223780,0.02,14100,126,553000,733000,6
2026-04-19T14:43:05+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,2.07,6312428,100298223780,0.01,94800000,170000000,3900000,0,5
2026-04-19T14:43:08+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,1014.98,442740244,200596447560,0.22,844000000,823000000,39550000,4100,53
2026-04-19T14:43:08+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0,23236444,100298223780,0.02,14300,126,553000,733000,6
2026-04-19T14:43:08+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,11.93,8724152,100298223780,0.01,95400000,171000000,3900000,0,5
2026-04-19T14:43:11+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,54.02,441314181,200596447560,0.22,856000000,837000000,39550000,4100,52
2026-04-19T14:43:11+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0,23236444,100298223780,0.02,14700,126,553000,733000,6
2026-04-19T14:43:11+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,0.12,8195670,100298223780,0.01,96600000,173000000,3900000,0,5
2026-04-19T14:43:14+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,497.67,442226442,200596447560,0.22,869000000,850000000,39550000,4100,51
2026-04-19T14:43:14+00:00,postgres,e1840baa0537,yii3-benchmarks-php-fpm-postgres-1,0,23236444,100298223780,0.02,15400,126,553000,733000,6
2026-04-19T14:43:14+00:00,valkey,e631623682e4,yii3-benchmarks-php-fpm-valkey-1,0.1,8315208,100298223780,0.01,96600000,173000000,3900000,0,5
2026-04-19T14:43:17+00:00,app,8f7a67a14052|7b8bff8e4d1f,yii3-benchmarks-php-fpm-php-1|yii3-benchmarks-php-fpm-nginx-1,101.38,439898603,200596447560,0.22,884000000,868000000,39550000,4100,51
